ts_utc,elapsed_s,scenario,deployment,replicas,ready,cpu_pct,desired
2026-07-13T00:42:58Z,116,hpa,data-transform,1,1,28,1
2026-07-13T00:43:03Z,121,hpa,api-gateway,1,1,163,1
2026-07-13T00:43:03Z,121,hpa,authorization,1,1,20,1
2026-07-13T00:43:03Z,121,hpa,patient-data,1,1,32,1
2026-07-13T00:43:03Z,121,hpa,data-transform,1,1,28,1
2026-07-13T00:43:09Z,127,hpa,api-gateway,1,1,163,1
2026-07-13T00:43:09Z,127,hpa,authorization,1,1,20,1
2026-07-13T00:43:09Z,127,hpa,patient-data,1,1,32,1
2026-07-13T00:43:09Z,127,hpa,data-transform,1,1,28,1
2026-07-13T00:43:14Z,132,hpa,api-gateway,3,1,163,3
2026-07-13T00:43:14Z,132,hpa,authorization,1,1,42,1
2026-07-13T00:43:14Z,132,hpa,patient-data,1,1,33,1
2026-07-13T00:43:14Z,132,hpa,data-transform,1,1,25,1
2026-07-13T00:43:19Z,137,hpa,api-gateway,3,1,163,3
2026-07-13T00:43:19Z,137,hpa,authorization,1,1,42,1
2026-07-13T00:43:19Z,137,hpa,patient-data,1,1,33,1
2026-07-13T00:43:19Z,137,hpa,data-transform,1,1,25,1
2026-07-13T00:43:25Z,143,hpa,api-gateway,3,1,163,3
2026-07-13T00:43:25Z,143,hpa,authorization,1,1,42,1
2026-07-13T00:43:25Z,143,hpa,patient-data,1,1,33,1
2026-07-13T00:43:25Z,143,hpa,data-transform,1,1,25,1
2026-07-13T00:43:30Z,148,hpa,api-gateway,3,3,76,3
2026-07-13T00:43:30Z,148,hpa,authorization,1,1,14,1
2026-07-13T00:43:30Z,148,hpa,patient-data,1,1,37,1
2026-07-13T00:43:30Z,148,hpa,data-transform,1,1,26,1
2026-07-13T00:43:36Z,154,hpa,api-gateway,3,3,76,3
2026-07-13T00:43:36Z,154,hpa,authorization,1,1,14,1
2026-07-13T00:43:36Z,154,hpa,patient-data,1,1,37,1
2026-07-13T00:43:36Z,154,hpa,data-transform,1,1,26,1
2026-07-13T00:43:41Z,159,hpa,api-gateway,3,3,76,3
2026-07-13T00:43:41Z,159,hpa,authorization,1,1,14,1
2026-07-13T00:43:41Z,159,hpa,patient-data,1,1,37,1
2026-07-13T00:43:41Z,159,hpa,data-transform,1,1,26,1
2026-07-13T00:43:46Z,164,hpa,api-gateway,3,3,61,3
2026-07-13T00:43:46Z,164,hpa,authorization,1,1,22,1
2026-07-13T00:43:46Z,164,hpa,patient-data,1,1,19,1
2026-07-13T00:43:46Z,164,hpa,data-transform,1,1,18,1
2026-07-13T00:43:52Z,170,hpa,api-gateway,3,3,61,3
2026-07-13T00:43:52Z,170,hpa,authorization,1,1,22,1
2026-07-13T00:43:52Z,170,hpa,patient-data,1,1,19,1
2026-07-13T00:43:52Z,170,hpa,data-transform,1,1,18,1
2026-07-13T00:43:57Z,175,hpa,api-gateway,3,3,61,3
2026-07-13T00:43:57Z,175,hpa,authorization,1,1,22,1
2026-07-13T00:43:57Z,175,hpa,patient-data,1,1,19,1
2026-07-13T00:43:57Z,175,hpa,data-transform,1,1,18,1
2026-07-13T00:44:02Z,180,hpa,api-gateway,3,3,23,3
2026-07-13T00:44:02Z,180,hpa,authorization,1,1,11,1
2026-07-13T00:44:02Z,180,hpa,patient-data,1,1,24,1
2026-07-13T00:44:02Z,180,hpa,data-transform,1,1,15,1
2026-07-13T00:44:08Z,186,hpa,api-gateway,3,3,23,3
2026-07-13T00:44:08Z,186,hpa,authorization,1,1,11,1
2026-07-13T00:44:08Z,186,hpa,patient-data,1,1,24,1
2026-07-13T00:44:08Z,186,hpa,data-transform,1,1,15,1
2026-07-13T00:44:13Z,191,hpa,api-gateway,3,3,19,3
2026-07-13T00:44:13Z,191,hpa,authorization,1,1,11,1
2026-07-13T00:44:13Z,191,hpa,patient-data,1,1,17,1
2026-07-13T00:44:13Z,191,hpa,data-transform,1,1,22,1
2026-07-13T00:44:18Z,196,hpa,api-gateway,3,3,19,3
